"zcta","county","CountyName","ZIPName","pop20","afact"
"ZIP census tabulation area","County code","County name","ZIP Code name","Total population (2020 Census)","zcta-to-county allocation factor"
"02169","25021","Norfolk MA","Quincy, MA",62140,1 
"02170","25021","Norfolk MA","Quincy, MA",19950,1 
"02171","25021","Norfolk MA","Quincy, MA",19539,1 
"02176","25017","Middlesex MA","Melrose, MA",29817,1 
"02180","25017","Middlesex MA","Stoneham, MA",23244,1 
"02184","25021","Norfolk MA","Braintree, MA",39143,1 
"02186","25021","Norfolk MA","Milton, MA",28637,1 
"02188","25021","Norfolk MA","Weymouth, MA",15133,1 
"02189","25021","Norfolk MA","East Weymouth, MA",15123,1 
"02190","25021","Norfolk MA","South Weymouth, MA",18910,1 
"02191","25021","Norfolk MA","North Weymouth, MA",8271,1 
"02199","25025","Suffolk MA","Boston, MA",1574,1 
"02205","25025","Suffolk MA","Boston, MA (PO boxes)",10,1 
"02210","25025","Suffolk MA","Boston, MA",5808,1 
"02215","25021","Norfolk MA","Boston, MA",33,0.0012 
"02215","25025","Suffolk MA","Boston, MA",26893,0.9988 
"02301","25023","Plymouth MA","Brockton, MA",69418,1 
"02302","25023","Plymouth MA","Brockton, MA",36202,1 
"02322","25021","Norfolk MA","Avon, MA",4777,1 
"02324","25023","Plymouth MA","Bridgewater, MA",25676,1 
"02325","25023","Plymouth MA","Bridgewater, MA",3025,1 
"02330","25023","Plymouth MA","Carver, MA",11645,1 
"02332","25023","Plymouth MA","Duxbury, MA",16090,1 
"02333","25023","Plymouth MA","East Bridgewater, MA",14382,1 
"02338","25023","Plymouth MA","Halifax, MA",7749,1 
"02339","25023","Plymouth MA","Hanover, MA",14833,1 
"02341","25023","Plymouth MA","Hanson, MA",10367,1 
"02343","25021","Norfolk MA","Holbrook, MA",11364,1 
"02346","25023","Plymouth MA","Middleboro, MA",24245,1 
"02347","25023","Plymouth MA","Lakeville, MA",11523,1 
"02350","25023","Plymouth MA","Monponsett, MA (PO boxes)",272,1 
"02351","25023","Plymouth MA","Abington, MA",17085,1 
"02356","25005","Bristol MA","North Easton, MA",12767,1 
"02357","25005","Bristol MA","North Easton, MA",1906,1 
"02359","25023","Plymouth MA","Pembroke, MA",18361,1 
"02360","25023","Plymouth MA","Plymouth, MA",61134,1 
"02364","25023","Plymouth MA","Kingston, MA",13708,1 
"02366","25023","Plymouth MA","South Carver, MA (PO boxes)",83,1 
"02367","25023","Plymouth MA","Plympton, MA",2930,1 
"02368","25021","Norfolk MA","Randolph, MA",35025,1 
